EmployeeNo,FirstName,LastName,Birthdate,Gender,HireDate
1001,John,Smith,1985-03-15,M,2010-05-20
1002,Sarah,Johnson,1990-07-22,F,2012-02-10
1003,Michael,Williams,1988-12-05,M,2011-08-14
1004,Emily,Brown,1992-04-30,F,2015-03-02
1005,Robert,Davis,1986-09-18,M,2014-06-17
1006,Jessica,Anderson,1991-11-25,F,2013-04-05
1007,William,Jones,1989-01-10,M,2016-09-30
1008,Olivia,Martinez,1993-08-12,F,2017-11-20
1009,David,Miller,1987-06-03,M,2018-02-28
1010,Sophia,Wilson,1994-02-14,F,2019-07-10
1011,Joseph,Taylor,1990-05-27,M,2012-10-15
1012,Emma,Anderson,1988-10-08,F,2011-03-12
1013,Andrew,Hernandez,1995-09-03,M,2013-12-19
1014,Mia,Lopez,1991-07-01,F,2017-05-25
1015,James,Lee,1986-04-14,M,2016-01-08
1016,Charlotte,Harris,1992-11-09,F,2014-08-23
1017,Benjamin,Clark,1989-02-20,M,2018-04-30
1018,Ava,Young,1993-06-28,F,2019-09-12
1019,Daniel,Scott,1987-12-11,M,2010-11-15
1020,Harper,Turner,1994-03-04,F,2015-06-27
